filename,1999,530,address,box,brand,cases,com,controls,date,high,hugh,intake,low,packing,participating,rmo,rsm,sheet,tbd,total
reports.pdf,0,0,0,1,0,5,0,6,0,5,0,6,6,0,0,0,0,0,0,0
advertisement_04.jpeg,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
form_02.tif,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,4
form_03.tif,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
form_01.tif,0,4,0,4,8,0,0,0,0,0,0,0,0,8,0,0,0,8,10,0
advertisement_03.tif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
invoices.pdf,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
advertisement_02.tif,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
emails.pdf,6,0,0,0,0,0,7,0,9,0,4,0,0,0,0,13,15,0,0,1
advertisement_01.tif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
